Timestamp,Source IP,Destination IP,Protocol
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.1,192.168.1.104,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:37,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:41,192.168.1.104,192.168.1.1,6
2025-04-30 19:43:41,192.168.1.104,192.168.1.1,6
